Name,Type,TextBox,Subtype,Cost,Attack,Speed,Health,Legendary,Patron,VersionAdded,ArtType,ArtCredit,HasAnimation,AnimationCount,AnimationTypes,StarterDecks,MentionedCards
Stormrider Zurn,Minion,"Legendary. Spellcaster. Haste. When you play a Lightning spell, gain <sprite name=""power_2""><sprite name=""speed_2""><sprite name=""health_2""> until end of turn.",Demigod,4,6,0,6,True,Skaal,0.1.21,ARTIST_COMMISSIONED,Marc Petrelis,True,1,SingleSoundFXAnimation,,
Stout Knight,Minion,Shield.  (Prevent the first time this would be damaged from another source.),Dwarf,1,2,2,1,,Neutral,0.4.14,AI_GENERATED,DALL-E,False,0,,,
Strategic Reserves,Spell,Draw a minion from your deck. It gains Deploy.,None,2,,,,,Skaal,0.4.41,AI_GENERATED,DALL-E,False,0,,,
Stumbling Ghoul,Minion,"Postmortem: Summon a <sprite name=""power_2""><sprite name=""speed_2""><sprite name=""health_2""> Undead Zombie.",Undead,1,1,2,1,,Shadis,0.4.18,COMMISSIONED_PLACEHOLDER,Amna Zaki,False,0,,,Zombie
Styrian Infantry,Minion,Arrival: draw a card if you have 3 or less maximum mana.,Human,1,2,3,1,,Neutral,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,,
Supercharger,Minion,[Warmup 1]: All adjacent allies gain +1 movement and regain their Attacks.,Mech,5,6,3,4,,Neutral,0.2.10,COMMISSIONED_PLACEHOLDER,Devora Studios,True,2,BattleHit;BattleSound,Starter Mage,
Swiftfoot Goblin,Minion,"Haste.  (When played, can move and Attack immediately.)",Goblin,1,2,2,1,,Neutral,0.1.27,AI_GENERATED,Midjourney,True,1,SingleSoundFXAnimation,"Starter Death, Starter Deploy",
Swiftness Potion,Spell,"[Range 2]: A minion gains <sprite name=""speed_3"">.",Potion,2,,,,,Neutral,0.1.4,ARTIST_COMMISSIONED,Tomas Vinco,True,4,LoopingParticle;ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,,
Tadpole,Minion,"Whenever you play a Spell, Tadpole gains <sprite name=""power_1""> and <sprite name=""health_1"">.",Beast,1,1,3,2,,Neutral,0.1.2,AI_GENERATED,Stable Diffusion,False,0,,Starter Mage,
Tax Collector,Minion,"Arrival: ALL players gain <sprite name=""dominion_2""> Dominion.",Human,4,2,4,6,,Neutral,0.6.5,AI_GENERATED,ChatGPT Images,False,0,,,
Throne Guardian,Minion,"Flying. Arrival: Gain <sprite name=""dominion_1""> Dominion, Gain <sprite name=""intellect_1""> Intellect, Draw 1 Card.",Dragon,5,4,4,4,,Neutral,0.4.4,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,,
Thunder Jolt,Spell,[Range 4]: Deal 1 damage.,Lightning,0,,,,,Skaal,0.1.4,ARTIST_COMMISSIONED,Marc Petrelis,True,3,EntryEffect;ParticleDisplayFXAnimation;SingleSoundFXAnimation,,
Thunder Skywhale,Minion,Flying. Deploy. [Arrival]: Return all enemy minions within Range 2 that have Health less than the number of tiles in your territory.,Beast,8,6,3,6,,Archaeon,0.4.41,ARTIST_COMMISSIONED,Marc Petrelis,True,2,BattleHit;BattleSound,,
Thunder Step,Spell,"A friendly character may Teleport up to 2 tiles this turn. Before it does, Stun all adjacent minions.",Lightning,3,,,,,Skaal,0.4.5,AI_GENERATED,DALL-E,False,0,,,
Thunderous Warbeast,Minion,"Arrival: Add two Thunder Jolts to your hand. When you play a Lightning spell, your commander heals 2.",Beast,5,4,3,5,,Skaal,0.2.5,AI_GENERATED,Midjourney,True,5,BattleHit;BattleSound;EntryEffect;ParticleDisplayFXAnimation;SingleSoundFXAnimation,,Thunder Jolt
Titan Herald,Minion,Arrival: Draw the highest cost card from your deck and unclaim the current tile.,Human,4,4,3,3,,Neutral,0.2.10,AI_GENERATED,Midjourney,False,0,,,
Toxic Watering,Spell,"Your plants gain ""At the end of each of your turns, enemy commanders gain 1 Poison.""",None,1,,,,,Grenalia,0.4.22,AI_GENERATED,DALL-E,True,3,LoopingParticle;ParticleDisplayFXAnimation,,
Toxicologist,Minion,"Realmbound. At the beginning of your turn: add a Poison Sting to your hand. If Toxicologist is poisoned, add two.",Human,3,1,1,6,,Grenalia,0.4.8,ARTIST_COMMISSIONED,Marc Petrelis,True,3,LoopingParticle;ParticleDisplayFXAnimation,,Poison Sting
Toxicologist's Vial,Spell,[Range 2]: Double a character's poison.,Potion,4,,,,,Grenalia,0.1.14,ARTIST_COMMISSIONED,Tomas Vinco,True,6,LoopingParticle;ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,,
Tree of Life,Minion,"Legendary. At the end of your turn, your commander and plants you control gain <sprite name=""health_2""> (increases Max Health).",Plant,7,2,0,13,True,Grenalia,0.4.26,AI_GENERATED,DALL-E,False,0,,,
Trinket Trasher,Minion,Goblin-Deploy. Arrival: Destroy the enemy commander's weapon.,Goblin,2,3,2,2,,Neutral,1.2.0,AI_GENERATED,ChatGPT Images,False,0,,,
Tyrannic Ideal,Spell,Convert your excess Intellect into Dominion.,Psychic,2,,,,,Archaeon,1.1.1,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Undying Behemoth,Minion,"Sentinel. Postmortem: Summon a <sprite name=""power_2""><sprite name=""speed_2""><sprite name=""health_2""> Undead Zombie that has: “Postmortem: Summon a <sprite name=""power_2""><sprite name=""speed_2""><sprite name=""health_2""> Undead Zombie.”",Undead,6,4,2,5,,Shadis,0.4.18,COMMISSIONED_PLACEHOLDER,Amna Zaki,True,2,BattleHit;BattleSound,,Zombie
Ursine Blade Trio,Minion,Commander-Deploy. Arrival: draw another Ursine Blade Trio from your deck.,Beast,3,3,3,3,,Neutral,0.2.10,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,,
"Vergis, Doomed Archaeologist",Minion,Legendary. Arrival: shuffle Artifact of the End into your deck,Dwarf,6,4,2,6,True,Neutral,0.4.19,COMMISSIONED_PLACEHOLDER,Devora Studios,True,1,SingleSoundFXAnimation,,Artifact of the End
Viridian War Beast,Minion,"Trample.  (When battling and killing an enemy, regain an Attack.)",Beast,8,7,3,12,,Neutral,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,True,1,BattleSound,,
Vyre Aristocrat,Minion,"Lifelink. [<sprite name=""mana_1"">]: Sacrifice an adjacent Minion to gain <sprite name=""power_2""> and <sprite name=""health_2"">.",Vampire,2,2,3,2,,Shadis,0.4.18,AI_GENERATED,DALL-E,False,0,,,
Wandering Ancient,Minion,Spellcaster. Veiled. Regenerate 3.,Beast,10,10,4,12,,Neutral,0.1.7,AI_GENERATED,Midjourney,True,2,BattleHit;BattleSound,,
War Banner,Minion,"Deploy. Adjacent ally Minions have +<sprite name=""power_2"">.",None,1,0,0,2,,Skaal,0.3.2,AI_GENERATED,Midjourney,True,1,AuraSigil,,
War Chest,Spell,"Gain <sprite name=""mana_1""> this turn, and at the start of your next turn.",None,0,,,,,Treasure,1.0.2,AI_GENERATED,ChatGPT Images,False,0,,,
Warcry,Spell,"Your characters within Range 3 gain <sprite name=""power_2""> and <sprite name=""speed_2""> until end of turn.",None,3,,,,,Skaal,0.3.2,AI_GENERATED,Midjourney,False,0,,,
Warlord's Mace,Spell,"Weapon Offensive. When you attack and kill a minion, gain <sprite name=""dominion_1""> Dominion.",None,3,,,,,Neutral,1.2.0,AI_GENERATED,ChatGPT Images,False,0,,,
Warscarred Rhino,Minion,Trample. Arrival: Warscarred Rhino deals 4 damage to itself.,Beast,4,5,3,7,,Neutral,0.1.2,AI_GENERATED,Midjourney,False,0,,Starter Military,
Warscarred Soldier,Minion,Arrival: Warscarred Soldier deals 5 damage to itself.,Human,1,2,3,6,,Neutral,0.2.1,AI_GENERATED,Midjourney,False,0,,Starter Military,
Wise Elder,Minion,Arrival: Each player draws 2 cards.,Elf,3,2,2,2,,Neutral,0.4.28,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
"Yorefell, Blade of Lusheim",Spell,Weapon Lifelink. Does not lose durability when you attack.,None,8,,,,,Lucia,1.2.1,AI_GENERATED,ChatGPT Images,True,2,WeaponHit;WeaponSlash,,
Zealous Captain,Minion,"Whenever a character you own is healed, adjacent ally minions gain <sprite name=""power_1""> and <sprite name=""health_1"">.",Human,5,4,4,4,,Lucia,0.1.7,AI_GENERATED,Midjourney,False,0,,,
Zealous Strength,Spell,"Ally minions within Range 3 gain <sprite name=""power_2""> and <sprite name=""health_2"">. They also gain +1 Movement this turn only.",None,4,,,,,Lucia,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,,
"Zoghn, Eye of Treason",Minion,Legendary. Arrival: Destroy half your deck. [Cooldown 1]: Draw a card from an enemy deck.,Demigod,5,2,0,10,True,Archaeon,0.4.17,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,,
Zoloth the Butcher,Minion,"Legendary. [Arrival]: Sacrifice a Minion to add three <sprite name=""power_2""><sprite name=""speed_2""><sprite name=""health_2""> Zombies to your hand with Ethereal that cost <sprite name=""mana_0"">.",Undead,5,6,2,3,True,Shadis,0.6.2,COMMISSIONED_PLACEHOLDER,Amna Zaki,True,3,BattleHit;BattleSound;CardLoopingParticle,,Zombie
